iter	Passed	Remaining
911	299816	28929
912	300098	28596
913	300507	28275
914	300743	27937
915	301012	27603
916	301286	27270
917	301587	26939
918	301849	26604
919	302201	26278
920	302442	25942
921	302764	25613
922	303049	25281
923	303351	24950
924	303677	24622
925	303996	24293
926	304300	23963
927	304548	23628
928	304888	23301
929	305183	22970
930	305478	22640
931	305789	22310
932	306224	21990
933	306487	21657
934	306809	21329
935	307163	21002
936	307543	20677
937	307857	20348
938	308314	20028
939	308687	19703
940	309089	19379
941	309534	19058
942	310006	18738
943	310459	18417
944	310994	18100
945	311343	17772
946	311757	17447
947	312035	17115
948	312319	16784
949	312659	16455
950	313028	16128
951	313458	15804
952	313779	15474
953	314119	15146
954	314439	14816
955	314696	14483
956	315031	14155
957	315426	13828
958	315749	13499
959	316325	13180
960	316612	12848
961	316879	12517
962	317257	12189
963	317602	11860
964	317947	11531
965	318294	11202
966	318582	10871
967	318856	10540
968	319171	10210
969	319572	9883
970	319905	9554
971	320206	9224
972	320574	8895
973	320863	8565
974	321246	8237
975	321585	7907
976	321820	7576
977	322146	7246
978	322441	6916
979	322719	6586
980	323024	6256
981	323266	5925
982	323545	5595
983	323863	5266
984	324167	4936
985	324483	4607
986	324796	4277
987	325098	3948
988	325379	3618
989	325727	3290
990	326061	2961
991	326392	2632
992	327123	2306
993	327417	1976
994	327713	1646
995	327947	1317
996	328369	988
997	328650	658
998	328920	329
999	329167	0
